,lot,trial,val_loss,min_val_loss,min_val_loss_epoch,activation,batch_size,num_layers,optimizer,units,num_parameters
10470,lot-126,trial_0035,"[0.00437979 0.00417206 0.00403525 0.00404949 0.00404186 0.00402148
 0.00399656 0.00387656 0.00382128 0.00375218 0.00371216 0.00362816]",0.0036281603388488,12,leakyrelu,1152,3,Adam,[ 256  640 1024],1000576
5740,lot-42,trial_0040,"[0.01117554 0.00795248 0.0078337  0.00774073 0.00755159 0.00756238
 0.00760213 0.0038805  0.00379604 0.0036644  0.00362877 0.00371487]",0.0036287673283368,11,leakyrelu,1536,3,RAdam,[ 768 1024  896],1933184
10714,lot-141,trial_0021,"[0.00433502 0.00428625 0.00398477 0.00377909 0.00388004 0.00396477
 0.00382922 0.0036919  0.0037473  0.00380422 0.00374    0.00365254]",0.003652544459328,12,leakyrelu,384,4,Adam,[256 896 896 768],1869824
8724,lot-123,trial_0047,"[0.00506804 0.00466975 0.00457715 0.00438766 0.00435447 0.00431598
 0.00422718 0.00401961 0.0039296  0.00386112 0.00377471 0.00365421]",0.0036542131565511,12,elu,2304,8,RAdam,[768 640 512 256 896 640 384 256],2246144
9,lot-139,trial_0023,"[0.00445642 0.00426446 0.00400927 0.0037549  0.00384557 0.00390799
 0.00379763 0.00368307 0.00373993 0.00375884 0.00374192 0.00365811]",0.0036581072490662,12,leakyrelu,768,6,Adam,[256 896 768 896 640 896],2919936
678,lot-86,trial_0024,"[0.00738949 0.00711533 0.00701576 0.00706436 0.0070551  0.00703871
 0.00684846 0.00679319 0.00674858 0.00669261 0.00372755 0.00365956]",0.00365955918096,12,leakyrelu,1152,6,RAdam,[512 512 768 768 640 128],1918464
9681,lot-150,trial_0033,"[0.00437082 0.00425377 0.00401869 0.0038142  0.00390311 0.00395436
 0.0037835  0.00371613 0.00373463 0.00375694 0.00372666 0.00366081]",0.0036608125083148,12,leakyrelu,1152,3,Adam,[ 256 1024  512],902144
8583,lot-181,trial_0040,"[0.00471039 0.00425837 0.00397307 0.00413516 0.00388847 0.00384682
 0.00383554 0.00370003 0.0037601  0.00370261 0.00366133 0.00369747]",0.0036613256670534,11,elu,768,7,Adam,[512 896 896 384 512 512 128],2230272
8972,lot-58,trial_0055,"[0.00544928 0.00514441 0.00414784 0.00413978 0.00395323 0.00378648
 0.0038047  0.00385449 0.00387845 0.00381166 0.00373734 0.00366251]",0.0036625068169087,12,leakyrelu,1152,3,RAdam,[ 512 1024  256],901120
6262,lot-143,trial_0032,"[0.00444514 0.00420006 0.00386574 0.00395598 0.00391647 0.00374655
 0.00383285 0.00378    0.00368844 0.00373221 0.00371059 0.00366318]",0.0036631759721785,12,leakyrelu,1152,3,RAdam,[640 512 640],835072
8906,lot-96,trial_0021,"[0.00435802 0.00412602 0.00420335 0.00405624 0.0038857  0.00373034
 0.00379326 0.00384292 0.00384972 0.00378692 0.00373199 0.0036654 ]",0.0036654002033174,12,leakyrelu,1152,4,Adam,[ 896  256  640 1024],1310208
7915,lot-91,trial_0024,"[0.00780975 0.0077011  0.00766144 0.00377726 0.00376101 0.00373683
 0.00373011 0.00370921 0.00369586 0.00368978 0.00368023 0.00366633]",0.0036663261707872,12,leakyrelu,768,3,Adam,[ 384  768 1024],1278848
9049,lot-101,trial_0028,"[0.00464281 0.00432052 0.00433012 0.00399789 0.00389298 0.00377023
 0.00381635 0.00388782 0.00389592 0.00381085 0.00372526 0.00366667]",0.003666665405035,12,leakyrelu,2304,3,RAdam,[ 640 1024 1024],1933696
6947,lot-177,trial_0024,"[0.00735078 0.00388994 0.00408405 0.00378982 0.00386456 0.00375446
 0.00380489 0.00370187 0.00371754 0.00366719 0.00369229 0.00369373]",0.003667191369459,10,leakyrelu,768,3,Adam,[768 640 512],998528
8442,lot-145,trial_0056,"[0.00444057 0.00425842 0.00389135 0.00397026 0.00394745 0.00375772
 0.0038245  0.00382106 0.00370559 0.00376549 0.003726   0.00366754]",0.0036675429437309,12,leakyrelu,1152,2,RAdam,[1024  896],1177728
2729,lot-171,trial_0058,"[0.00435088 0.00419842 0.00404332 0.00379539 0.00388631 0.00394045
 0.00382175 0.00369532 0.00374446 0.00381954 0.0037361  0.00367187]",0.0036718677729368,12,leakyrelu,768,4,RAdam,[640 896 384 640],1343744
11311,lot-61,trial_0023,"[0.00400911 0.00389347 0.0038318  0.00377748 0.00374968 0.0037356
 0.00372139 0.00372666 0.00369773 0.00369953 0.0036881  0.00367188]",0.0036718831397593,12,relu,768,3,Adam,[1024  256 1024],801280
8241,lot-182,trial_0020,"[0.00449816 0.00440686 0.00422735 0.00398769 0.00389402 0.00376253
 0.00381031 0.00384715 0.00390517 0.00379709 0.00374988 0.00367307]",0.0036730687133967,12,leakyrelu,1152,3,Adam,[1024  512  256],833536
8775,lot-123,trial_0024,"[0.00451354 0.00445662 0.00412448 0.00394066 0.00408955 0.00393655
 0.00385037 0.00370834 0.00379959 0.00378662 0.00375981 0.00367543]",0.003675429848954,12,leakyrelu,1536,6,Adam,[256 896 640 640 768 512],2214784
2722,lot-171,trial_0047,"[0.00440962 0.00424477 0.00406791 0.00381469 0.00390347 0.0039445
 0.00383204 0.00371768 0.00381365 0.00378851 0.00372219 0.00367563]",0.0036756303161382,12,leakyrelu,1536,3,Adam,[768 512 640],916608
4939,lot-173,trial_0034,"[0.00446143 0.00419376 0.0039489  0.00403013 0.00394871 0.00374574
 0.00382745 0.0038118  0.00370853 0.00374505 0.00372369 0.00367806]",0.0036780631635338,12,relu,1152,3,RAdam,[1024  640  512],1194368
9807,lot-95,trial_0037,"[0.00430894 0.0040827  0.00390778 0.00397681 0.00380139 0.00377203
 0.00378994 0.00369306 0.0037246  0.00370529 0.00367811 0.00368334]",0.0036781053058803,11,leakyrelu,768,4,Adam,[ 384  640  768 1024],1721856
634,lot-86,trial_0025,"[0.00486557 0.00465405 0.00451529 0.00433743 0.00412811 0.00382535
 0.00393566 0.00393014 0.0040236  0.0038963  0.00382028 0.00367901]",0.0036790135782212,12,elu,1152,7,RAdam,[768 384 768 768 384 768 256],2114816
4249,lot-81,trial_0025,"[0.00450221 0.00388611 0.00408891 0.00378282 0.00387593 0.00374409
 0.00383031 0.00372483 0.00374317 0.00367913 0.00370816 0.00368553]",0.0036791323218494,10,leakyrelu,384,5,RAdam,[768 640 896 128 896],1524224
4960,lot-173,trial_0047,"[0.00732786 0.00718803 0.007074   0.00692525 0.00684237 0.00669711
 0.00672468 0.00390234 0.00389361 0.00382663 0.00373708 0.00367945]",0.0036794459447264,12,leakyrelu,2304,3,Adam,[1024  768  256],1161472
7205,lot-133,trial_0023,"[0.00426095 0.00439631 0.00401968 0.00380741 0.00385969 0.00394755
 0.00384685 0.00372346 0.00376246 0.003797   0.00374685 0.00367966]",0.0036796638742089,12,leakyrelu,384,3,Adam,[ 128 1024  768],1050240
6300,lot-106,trial_0034,"[0.004541   0.00415168 0.00406651 0.0040583  0.00413846 0.00403687
 0.00411066 0.00391138 0.00381724 0.00379765 0.00372642 0.00367988]",0.0036798832006752,12,relu,1152,4,Adam,[ 896 1024  256  384],1457408
