,lot,trial,val_loss,min_val_loss,min_val_loss_epoch,activation,batch_size,num_layers,optimizer,units,num_parameters
3976,lot-89,trial_0025,"[0.00150764 0.00135578 0.00131894 0.00132869 0.00129331 0.00129292
 0.00126178 0.00123941 0.00122625 0.00119747 0.00118278 0.00116712]",0.0011671199463307,12,leakyrelu,1152,2,RAdam,[1024  896],1820512
8404,lot-146,trial_0046,"[0.00144905 0.00137752 0.00126826 0.00120702 0.00123413 0.00125041
 0.00121034 0.00118106 0.00119187 0.00120537 0.0011913  0.001171  ]",0.0011710027465596,12,leakyrelu,1152,2,RAdam,[ 896 1024],1813216
3660,lot-147,trial_0030,"[0.00143847 0.00133617 0.00132403 0.00127052 0.00123542 0.00119032
 0.00121221 0.00122933 0.00123013 0.00121076 0.00119182 0.00117196]",0.0011719573521986,12,leakyrelu,1152,3,RAdam,[ 384  768 1024],1759712
9966,lot-150,trial_0043,"[0.00154134 0.00136406 0.00133694 0.00127046 0.00122825 0.00119861
 0.00120541 0.00122386 0.00123915 0.00120405 0.00119341 0.00117328]",0.001173275639303,12,leakyrelu,2304,3,RAdam,[ 640 1024 1024],2491616
3034,lot-112,trial_0042,"[0.00152127 0.00138267 0.00134309 0.00133011 0.00131119 0.00129517
 0.00128354 0.00125391 0.00122458 0.00121332 0.00119549 0.00117783]",0.0011778270127251,12,leakyrelu,1152,2,RAdam,[256 896],805216
5294,lot-68,trial_0025,"[0.0014938  0.0013801  0.00130365 0.00121941 0.00123916 0.00126362
 0.00122177 0.0011931  0.00120484 0.00121018 0.00120693 0.00117821]",0.0011782072251662,12,leakyrelu,1152,3,RAdam,[384 896 384],1130464
6375,lot-142,trial_0049,"[0.0014088  0.00124039 0.00130068 0.00121058 0.00124222 0.0011967
 0.00121418 0.00119386 0.00119906 0.00118232 0.00119287 0.00118505]",0.0011823193635791,10,leakyrelu,384,2,RAdam,[512 640],918112
11198,lot-140,trial_0034,"[0.00168327 0.00160802 0.00158805 0.0012995  0.00130545 0.0013031
 0.00127399 0.00126228 0.0012404  0.00122141 0.00120264 0.00118236]",0.0011823611566796,12,leakyrelu,1152,4,Adam,[ 512  640  384 1024],1699808
8882,lot-123,trial_0046,"[0.00146746 0.00137854 0.00128713 0.00122252 0.0012485  0.0012578
 0.00122769 0.00119064 0.00120305 0.00122302 0.00120297 0.00118253]",0.0011825326364487,12,leakyrelu,1536,3,RAdam,[768 896 768],2123872
4380,lot-63,trial_0035,"[0.00151929 0.00139673 0.00132752 0.00130988 0.0013029  0.00129543
 0.00127954 0.00125933 0.00122576 0.00121894 0.00120329 0.00118396]",0.0011839567450806,12,leakyrelu,1152,2,RAdam,[384 640],781664
